# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 10.0 Build 262 08/18/2010 Service Pack 1 SJ Full Version
# File: D:/test_1/DE2_70_ADA/DE2_70_ADA.csv
# Generated on: Tue Sep 07 22:51:53 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,I/O Standard,Reserved
iKEY[0],Unknown,PIN_T29,6,,
iKEY[1],Unknown,PIN_T28,6,,
iKEY[2],Unknown,PIN_U30,6,,
iKEY[3],Unknown,PIN_U29,6,,
oLCD_BLON,Unknown,PIN_G3,2,,
LCD_D[0],Unknown,PIN_E1,2,,
LCD_D[1],Unknown,PIN_E3,2,,
LCD_D[2],Unknown,PIN_D2,2,,
LCD_D[3],Unknown,PIN_D3,2,,
LCD_D[4],Unknown,PIN_C1,2,,
LCD_D[5],Unknown,PIN_C2,2,,
LCD_D[6],Unknown,PIN_C3,2,,
LCD_D[7],Unknown,PIN_B2,2,,
oLCD_EN,Unknown,PIN_E2,2,,
oLCD_ON,Unknown,PIN_F1,2,,
oLCD_RS,Unknown,PIN_F2,2,,
oLCD_RW,Unknown,PIN_F3,2,,
oLEDR[0],Unknown,PIN_AJ6,8,,
oLEDR[1],Unknown,PIN_AK5,8,,
oLEDR[10],Unknown,PIN_AC13,8,,
oLEDR[11],Unknown,PIN_AB13,8,,
oLEDR[12],Unknown,PIN_AC12,8,,
oLEDR[13],Unknown,PIN_AB12,8,,
oLEDR[14],Unknown,PIN_AC11,8,,
oLEDR[15],Unknown,PIN_AD9,8,,
oLEDR[16],Unknown,PIN_AD8,8,,
oLEDR[17],Unknown,PIN_AJ7,8,,
oLEDG[8],Unknown,PIN_AC14,8,,
oLEDG[0],Unknown,PIN_W27,6,,
oLEDR[2],Unknown,PIN_AJ5,8,,
oLEDG[1],Unknown,PIN_W25,6,,
oLEDG[2],Unknown,PIN_W23,6,,
oLEDG[3],Unknown,PIN_Y27,6,,
oLEDG[4],Unknown,PIN_Y24,6,,
oLEDG[5],Unknown,PIN_Y23,6,,
oLEDG[6],Unknown,PIN_AA27,6,,
oLEDG[7],Unknown,PIN_AA24,6,,
oLEDR[3],Unknown,PIN_AJ4,8,,
oLEDR[4],Unknown,PIN_AK3,8,,
oLEDR[5],Unknown,PIN_AH4,8,,
oLEDR[6],Unknown,PIN_AJ3,8,,
oLEDR[7],Unknown,PIN_AJ2,8,,
oLEDR[8],Unknown,PIN_AH3,8,,
oLEDR[9],Unknown,PIN_AD14,8,,
oOTG_A[0],Unknown,PIN_E9,3,,
oOTG_A[1],Unknown,PIN_D8,3,,
oOTG_CS_N,Unknown,PIN_E10,3,,
OTG_D[0],Unknown,PIN_H10,3,,
OTG_D[1],Unknown,PIN_G9,3,,
OTG_D[10],Unknown,PIN_D6,3,,
OTG_D[11],Unknown,PIN_E7,3,,
OTG_D[12],Unknown,PIN_D7,3,,
OTG_D[13],Unknown,PIN_E8,3,,
OTG_D[14],Unknown,PIN_D9,3,,
OTG_D[15],Unknown,PIN_G10,3,,
OTG_D[2],Unknown,PIN_G11,3,,
OTG_D[3],Unknown,PIN_F11,3,,
OTG_D[4],Unknown,PIN_J12,3,,
OTG_D[5],Unknown,PIN_H12,3,,
OTG_D[6],Unknown,PIN_H13,3,,
OTG_D[7],Unknown,PIN_G13,3,,
OTG_D[8],Unknown,PIN_D4,3,,
OTG_D[9],Unknown,PIN_D5,3,,
oOTG_DACK0_N,Unknown,PIN_D12,3,,
